Module,Pattern,Role,Signal
csr_regfile,DoS,payload,dcache_en_o
csr_regfile,DoS,payload,debug_req_i
csr_regfile,DoS,payload,en_g_translation_o
csr_regfile,DoS,payload,en_ld_st_g_translation_o
csr_regfile,DoS,payload,en_ld_st_translation_o
csr_regfile,DoS,payload,en_translation_o
csr_regfile,DoS,payload,icache_en_o
csr_regfile,DoS,payload,perf_we_o
csr_regfile,Integrity,trigger,boot_addr_i
csr_regfile,Integrity,trigger,csr_addr_i
csr_regfile,Integrity,trigger,csr_op_i
csr_regfile,Integrity,trigger,fu_op
csr_regfile,Integrity,trigger,perf_addr_o
csr_regfile,Integrity,trigger,perf_data_i
csr_regfile,Integrity,trigger,perf_data_o
csr_regfile,Integrity,payload,csr_rdata_o
csr_regfile,Integrity,payload,csr_wdata_i
csr_regfile,Integrity,payload,csr_write_fflags_i
csr_regfile,Integrity,payload,perf_data_i
csr_regfile,Integrity,payload,perf_data_o
csr_regfile,Integrity,payload,store_result_i
csr_regfile,Leak,trigger,csr_addr_i
csr_regfile,Leak,trigger,csr_exception_o
csr_regfile,Leak,trigger,csr_hs_ld_st_inst_i
csr_regfile,Leak,trigger,csr_op_i
csr_regfile,Leak,trigger,csr_rdata_o
csr_regfile,Leak,trigger,csr_wdata_i
csr_regfile,Leak,trigger,csr_write_fflags_i
csr_regfile,Leak,trigger,debug_from_trigger_o
csr_regfile,Leak,trigger,debug_mode_o
csr_regfile,Leak,trigger,debug_req_i
csr_regfile,Leak,trigger,halt_csr_o
csr_regfile,Leak,trigger,perf_we_o
csr_regfile,Leak,trigger,rvfi_csr_o
csr_regfile,Leak,trigger,rvfi_probes_csr_t
csr_regfile,Leak,trigger,set_debug_pc_o
csr_regfile,Leak,payload,boot_addr_i
csr_regfile,Leak,payload,csr_addr_i
csr_regfile,Leak,payload,csr_exception_o
csr_regfile,Leak,payload,csr_hs_ld_st_inst_i
csr_regfile,Leak,payload,csr_op_i
csr_regfile,Leak,payload,csr_rdata_o
csr_regfile,Leak,payload,csr_wdata_i
csr_regfile,Leak,payload,csr_write_fflags_i
csr_regfile,Leak,payload,halt_csr_o
csr_regfile,Leak,payload,perf_addr_o
csr_regfile,Leak,payload,perf_data_i
csr_regfile,Leak,payload,perf_data_o
csr_regfile,Leak,payload,rvfi_csr_o
csr_regfile,Leak,payload,rvfi_probes_csr_t
csr_regfile,Leak,payload,store_result_i
csr_regfile,Privilege,trigger,boot_addr_i
csr_regfile,Privilege,trigger,csr_addr_i
csr_regfile,Privilege,trigger,csr_exception_o
csr_regfile,Privilege,trigger,csr_hs_ld_st_inst_i
csr_regfile,Privilege,trigger,csr_op_i
csr_regfile,Privilege,trigger,csr_rdata_o
csr_regfile,Privilege,trigger,csr_wdata_i
csr_regfile,Privilege,trigger,csr_write_fflags_i
csr_regfile,Privilege,trigger,debug_mode_o
csr_regfile,Privilege,trigger,halt_csr_o
csr_regfile,Privilege,trigger,perf_addr_o
csr_regfile,Privilege,trigger,perf_we_o
csr_regfile,Privilege,trigger,rvfi_csr_o
csr_regfile,Privilege,trigger,rvfi_probes_csr_t
csr_regfile,Privilege,payload,debug_mode_o
csr_regfile,Privilege,payload,ld_st_priv_lvl_o
csr_regfile,Privilege,payload,priv_lvl_o
csr_regfile,Privilege,payload,riscv::priv_lvl_t
cva6,Availability,trigger,cvxif_req_o
cva6,Availability,trigger,cvxif_req_t
cva6,Availability,trigger,debug_req_i
cva6,Availability,trigger,noc_req_o
cva6,Availability,trigger,noc_req_t
cva6,DoS,trigger,cvxif_req_o
cva6,DoS,trigger,cvxif_req_t
cva6,DoS,trigger,debug_req_i
cva6,DoS,trigger,noc_req_o
cva6,DoS,trigger,noc_req_t
cva6,DoS,payload,cvxif_req_o
cva6,DoS,payload,cvxif_req_t
